"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"66",2021,"FULL","PLANT"," ","AFA","BSAI",17.1233287949665,2.40859594721281,5.56824778256075,7.87007771900401,13.9863075320172,4.15266795765894,3962,82,74,85,79.6732307630529,202.494752355811,"FULLPLANT AFABSAI"
"67",2021,"FULL","PLANT"," ","OA","BSAI",7.56314684808569,1.48367952522255,1.24686646851634,0.507156389434093,47.4777448071217,5.13792724475217,674,18,18,18,9.46247337554495,42.7427353448313,"FULLPLANT OABSAI"
"68",2021,"FULL","PLANT"," ","OA","GOA",189.548654912825,0.375014649009727,0.900914098206961,2.03193492274613,1.30127117157322,101.791769145851,1219,35,32,43,26.8642958614021,360.762512299358,"FULLPLANT OAGOA"
"69",2021,"PARTIAL","CV","HAL","CDQ","BSAI",90.9090909090909,NA,NA,NA,NA,NA,11,2,2,2,1,1,"PARTIALCVHALCDQBSAI"
"70",2021,"PARTIAL","CV","HAL","IFQ","BSAI",34.7985347985348,12.8205128205128,NA,NA,NA,NA,156,11,11,14,1.28571428571429,7.42857142857143,"PARTIALCVHALIFQBSAI"
"71",2021,"PARTIAL","CV","HAL","IFQ","GOA",70.9446422122478,13.5235656362417,44.2566510172144,9.38967136150235,7.13615023474178,16.5258215962441,1065,60,48,172,58.5919746919747,172.291974691975,"PARTIALCVHALIFQGOA"
"72",2021,"PARTIAL","CV","HAL","OA","GOA",181.818181818182,NA,NA,22.7272727272727,NA,454.545454545455,44,8,8,9,3,29,"PARTIALCVHALOAGOA"
"73",2021,"PARTIAL","CV","NPT","OA","BSAI",10.2564102564103,19.2307692307692,NA,NA,38.4615384615385,19.2307692307692,52,7,7,9,4.53333333333333,4.53333333333333,"PARTIALCVNPTOABSAI"
"74",2021,"PARTIAL","CV","NPT","OA","GOA",204.029304029304,NA,NA,25.6410256410256,38.4615384615385,44.7145447145447,117,20,19,32,14.417316017316,36.6030303030303,"PARTIALCVNPTOAGOA"
"75",2021,"PARTIAL","CV","POT","CDQ","BSAI",NA,NA,NA,NA,NA,NA,5,2,2,2,0,0,"PARTIALCVPOTCDQBSAI"
"76",2021,"PARTIAL","CV","POT","IFQ","BSAI",78.9473684210526,26.3157894736842,26.3157894736842,NA,NA,26.3157894736842,38,7,7,9,6,6,"PARTIALCVPOTIFQBSAI"
"77",2021,"PARTIAL","CV","POT","IFQ","GOA",105.918746133223,22.2485289509418,41.3762287756926,2.68096514745308,51.4745308310992,0.536193029490617,746,54,42,104,40.622311022311,167.279453879454,"PARTIALCVPOTIFQGOA"
"78",2021,"PARTIAL","CV","POT","OA","BSAI",7.8740157480315,NA,NA,NA,NA,NA,127,10,10,16,1,1,"PARTIALCVPOTOABSAI"
"79",2021,"PARTIAL","CV","POT","OA","GOA",1172.83950617284,61.7283950617284,NA,NA,24.6913580246914,NA,81,10,9,11,6.5,102,"PARTIALCVPOTOAGOA"
"80",2021,"PARTIAL","CV","PTR","OA","GOA",95.8683473389356,5.88235294117647,NA,2.94117647058824,27.9411764705882,20.8874458874459,340,29,27,64,24.382683982684,52.1969696969697,"PARTIALCVPTROAGOA"
"81",2021,"PARTIAL","PLANT"," ","OA","GOA",220.93023255814,NA,NA,NA,NA,NA,344,5,5,6,2,76,"PARTIALPLANT OAGOA"
